video_id,window_config,window_lead,window_tail,window_total,audio_threshold,visual_threshold,top_percentile,true_peaks,duration_secs,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct,rand_recall_pct,rand_noise_pct,rand_pruned_pct,uniform_recall_pct,uniform_noise_pct,uniform_pruned_pct,recall_delta_vs_random,recall_delta_vs_uniform
IEfBBYmxtIo,minimal_20s,15,5,20,0.5,150,0.15,14,2246,12,6,14.3,66.7,94.7,0.0,100.0,94.7,7.1,83.3,94.7,14.3,7.2
IcAV5qiko8M,original_60s,45,15,60,0.5,150,0.15,14,3820,18,0,0.0,0.0,100.0,7.1,0.0,98.4,0.0,100.0,98.4,-7.1,0.0
IcAV5qiko8M,compact_40s,30,10,40,0.5,150,0.15,14,3820,25,0,0.0,0.0,100.0,7.1,0.0,98.4,0.0,100.0,98.4,-7.1,0.0
IcAV5qiko8M,tight_25s,20,5,25,0.5,150,0.15,14,3820,31,0,0.0,0.0,100.0,7.1,0.0,98.4,0.0,100.0,98.4,-7.1,0.0
IcAV5qiko8M,minimal_20s,15,5,20,0.5,150,0.15,14,3820,33,0,0.0,0.0,100.0,7.1,0.0,98.4,0.0,100.0,98.4,-7.1,0.0
DZ6q5X7fAmU,original_60s,45,15,60,0.5,150,0.15,13,516,3,2,30.8,0.0,58.5,30.8,50.0,76.7,23.1,0.0,76.7,0.0,7.7
DZ6q5X7fAmU,compact_40s,30,10,40,0.5,150,0.15,13,516,6,4,53.8,25.0,54.4,30.8,50.0,69.0,15.4,75.0,69.0,23.0,38.4
DZ6q5X7fAmU,tight_25s,20,5,25,0.5,150,0.15,13,516,8,6,46.2,50.0,67.8,38.5,66.7,70.9,53.8,33.3,70.9,7.7,-7.6
DZ6q5X7fAmU,minimal_20s,15,5,20,0.5,150,0.15,13,516,8,6,38.5,50.0,73.6,38.5,66.7,76.7,53.8,33.3,76.7,0.0,-15.3
t8HrZTLRCeU,original_60s,45,15,60,0.5,150,0.15,14,2415,7,3,28.6,66.7,90.4,0.0,100.0,92.5,0.0,100.0,92.5,28.6,28.6
t8HrZTLRCeU,compact_40s,30,10,40,0.5,150,0.15,14,2415,8,3,14.3,66.7,95.0,0.0,100.0,95.0,0.0,100.0,95.0,14.3,14.3
t8HrZTLRCeU,tight_25s,20,5,25,0.5,150,0.15,14,2415,8,3,7.1,66.7,96.9,0.0,100.0,96.9,0.0,100.0,96.9,7.1,7.1
t8HrZTLRCeU,minimal_20s,15,5,20,0.5,150,0.15,14,2415,8,3,7.1,66.7,97.5,0.0,100.0,97.5,0.0,100.0,97.5,7.1,7.1
MIoNEQeC7_s,original_60s,45,15,60,0.5,150,0.15,13,636,2,2,61.5,0.0,49.9,23.1,50.0,81.1,30.8,50.0,81.1,38.4,30.7
MIoNEQeC7_s,compact_40s,30,10,40,0.5,150,0.15,13,636,3,3,61.5,33.3,54.2,30.8,33.3,81.1,30.8,33.3,81.1,30.7,30.7
MIoNEQeC7_s,tight_25s,20,5,25,0.5,150,0.15,13,636,7,6,46.2,66.7,66.0,30.8,66.7,76.4,15.4,66.7,76.4,15.4,30.8
MIoNEQeC7_s,minimal_20s,15,5,20,0.5,150,0.15,13,636,8,7,38.5,71.4,70.7,15.4,71.4,78.0,7.7,85.7,78.0,23.1,30.8
qxXYC15dmpc,original_60s,45,15,60,0.5,150,0.15,14,1015,3,2,28.6,0.0,88.2,0.0,100.0,88.2,14.3,50.0,88.2,28.6,14.3
qxXYC15dmpc,compact_40s,30,10,40,0.5,150,0.15,14,1015,3,2,14.3,0.0,92.1,0.0,100.0,92.1,7.1,50.0,92.1,14.3,7.2
qxXYC15dmpc,tight_25s,20,5,25,0.5,150,0.15,14,1015,5,4,14.3,50.0,90.1,7.1,75.0,90.1,14.3,50.0,90.1,7.2,0.0
qxXYC15dmpc,minimal_20s,15,5,20,0.5,150,0.15,14,1015,6,5,14.3,60.0,90.1,7.1,80.0,90.1,14.3,60.0,90.1,7.2,0.0
lbMs5zG4TbM,original_60s,45,15,60,0.5,150,0.15,13,503,3,3,46.2,0.0,37.3,76.9,0.0,64.2,84.6,0.0,64.2,-30.7,-38.4
lbMs5zG4TbM,compact_40s,30,10,40,0.5,150,0.15,13,503,5,5,38.5,40.0,51.7,84.6,20.0,60.2,15.4,60.0,60.2,-46.1,23.1
lbMs5zG4TbM,tight_25s,20,5,25,0.5,150,0.15,13,503,6,6,38.5,50.0,66.9,61.5,33.3,70.2,46.2,33.3,70.2,-23.0,-7.7
lbMs5zG4TbM,minimal_20s,15,5,20,0.5,150,0.15,13,503,6,6,38.5,50.0,72.8,38.5,66.7,76.1,38.5,50.0,76.1,0.0,0.0
MoBkkw66NWY,original_60s,45,15,60,0.5,150,0.15,14,1770,9,1,0.0,100.0,95.0,0.0,100.0,96.6,0.0,100.0,96.6,0.0,0.0
MoBkkw66NWY,compact_40s,30,10,40,0.5,150,0.15,14,1770,15,4,0.0,100.0,89.4,7.1,75.0,91.0,0.0,100.0,91.0,-7.1,0.0
MoBkkw66NWY,tight_25s,20,5,25,0.5,150,0.15,14,1770,19,5,7.1,80.0,92.9,7.1,80.0,92.9,7.1,80.0,92.9,0.0,0.0
MoBkkw66NWY,minimal_20s,15,5,20,0.5,150,0.15,14,1770,21,6,7.1,83.3,93.2,7.1,83.3,93.2,7.1,83.3,93.2,0.0,0.0
ewKEe8pL8_w,original_60s,45,15,60,0.5,150,0.15,13,763,1,1,100.0,0.0,2.3,7.7,0.0,92.1,15.4,0.0,92.1,92.3,84.6
