video_id,audio_threshold,visual_threshold,top_percentile,true_peaks,ai_windows_after_audio,ai_windows_after_visual,captured,missed,recall_pct,noise_pct,pruned_pct
z12bz7adLKI,0.4,350,0.15,13,4,3,9,4,69.2,33.3,56.3
z12bz7adLKI,0.5,150,0.05,4,4,3,4,0,100.0,33.3,56.3
z12bz7adLKI,0.5,150,0.1,8,4,3,6,2,75.0,33.3,56.3
z12bz7adLKI,0.5,150,0.15,13,4,3,9,4,69.2,33.3,56.3
z12bz7adLKI,0.5,200,0.05,4,4,3,4,0,100.0,33.3,56.3
z12bz7adLKI,0.5,200,0.1,8,4,3,6,2,75.0,33.3,56.3
z12bz7adLKI,0.5,200,0.15,13,4,3,9,4,69.2,33.3,56.3
z12bz7adLKI,0.5,250,0.05,4,4,3,4,0,100.0,33.3,56.3
z12bz7adLKI,0.5,250,0.1,8,4,3,6,2,75.0,33.3,56.3
z12bz7adLKI,0.5,250,0.15,13,4,3,9,4,69.2,33.3,56.3
z12bz7adLKI,0.5,300,0.05,4,4,3,4,0,100.0,33.3,56.3
z12bz7adLKI,0.5,300,0.1,8,4,3,6,2,75.0,33.3,56.3
z12bz7adLKI,0.5,300,0.15,13,4,3,9,4,69.2,33.3,56.3
z12bz7adLKI,0.5,350,0.05,4,4,3,4,0,100.0,33.3,56.3
z12bz7adLKI,0.5,350,0.1,8,4,3,6,2,75.0,33.3,56.3
z12bz7adLKI,0.5,350,0.15,13,4,3,9,4,69.2,33.3,56.3
z12bz7adLKI,0.6,150,0.05,4,3,2,1,3,25.0,50.0,71.0
z12bz7adLKI,0.6,150,0.1,8,3,2,2,6,25.0,50.0,71.0
z12bz7adLKI,0.6,150,0.15,13,3,2,3,10,23.1,50.0,71.0
z12bz7adLKI,0.6,200,0.05,4,3,2,1,3,25.0,50.0,71.0
z12bz7adLKI,0.6,200,0.1,8,3,2,2,6,25.0,50.0,71.0
z12bz7adLKI,0.6,200,0.15,13,3,2,3,10,23.1,50.0,71.0
z12bz7adLKI,0.6,250,0.05,4,3,2,1,3,25.0,50.0,71.0
z12bz7adLKI,0.6,250,0.1,8,3,2,2,6,25.0,50.0,71.0
z12bz7adLKI,0.6,250,0.15,13,3,2,3,10,23.1,50.0,71.0
z12bz7adLKI,0.6,300,0.05,4,3,2,1,3,25.0,50.0,71.0
z12bz7adLKI,0.6,300,0.1,8,3,2,2,6,25.0,50.0,71.0
z12bz7adLKI,0.6,300,0.15,13,3,2,3,10,23.1,50.0,71.0
z12bz7adLKI,0.6,350,0.05,4,3,2,1,3,25.0,50.0,71.0
z12bz7adLKI,0.6,350,0.1,8,3,2,2,6,25.0,50.0,71.0
z12bz7adLKI,0.6,350,0.15,13,3,2,3,10,23.1,50.0,71.0
z12bz7adLKI,0.7,150,0.05,4,2,2,0,4,0.0,100.0,76.0
z12bz7adLKI,0.7,150,0.1,8,2,2,0,8,0.0,100.0,76.0
z12bz7adLKI,0.7,150,0.15,13,2,2,0,13,0.0,100.0,76.0
z12bz7adLKI,0.7,200,0.05,4,2,2,0,4,0.0,100.0,76.0
z12bz7adLKI,0.7,200,0.1,8,2,2,0,8,0.0,100.0,76.0
z12bz7adLKI,0.7,200,0.15,13,2,2,0,13,0.0,100.0,76.0
z12bz7adLKI,0.7,250,0.05,4,2,2,0,4,0.0,100.0,76.0
z12bz7adLKI,0.7,250,0.1,8,2,2,0,8,0.0,100.0,76.0
z12bz7adLKI,0.7,250,0.15,13,2,2,0,13,0.0,100.0,76.0
z12bz7adLKI,0.7,300,0.05,4,2,2,0,4,0.0,100.0,76.0
z12bz7adLKI,0.7,300,0.1,8,2,2,0,8,0.0,100.0,76.0
z12bz7adLKI,0.7,300,0.15,13,2,2,0,13,0.0,100.0,76.0
z12bz7adLKI,0.7,350,0.05,4,2,2,0,4,0.0,100.0,76.0
z12bz7adLKI,0.7,350,0.1,8,2,2,0,8,0.0,100.0,76.0
z12bz7adLKI,0.7,350,0.15,13,2,2,0,13,0.0,100.0,76.0
z12bz7adLKI,0.8,150,0.05,4,1,1,0,4,0.0,100.0,88.0
z12bz7adLKI,0.8,150,0.1,8,1,1,0,8,0.0,100.0,88.0
z12bz7adLKI,0.8,150,0.15,13,1,1,0,13,0.0,100.0,88.0
z12bz7adLKI,0.8,200,0.05,4,1,1,0,4,0.0,100.0,88.0
z12bz7adLKI,0.8,200,0.1,8,1,1,0,8,0.0,100.0,88.0
z12bz7adLKI,0.8,200,0.15,13,1,1,0,13,0.0,100.0,88.0
z12bz7adLKI,0.8,250,0.05,4,1,1,0,4,0.0,100.0,88.0
z12bz7adLKI,0.8,250,0.1,8,1,1,0,8,0.0,100.0,88.0
z12bz7adLKI,0.8,250,0.15,13,1,1,0,13,0.0,100.0,88.0
z12bz7adLKI,0.8,300,0.05,4,1,1,0,4,0.0,100.0,88.0
z12bz7adLKI,0.8,300,0.1,8,1,1,0,8,0.0,100.0,88.0
z12bz7adLKI,0.8,300,0.15,13,1,1,0,13,0.0,100.0,88.0
z12bz7adLKI,0.8,350,0.05,4,1,1,0,4,0.0,100.0,88.0
z12bz7adLKI,0.8,350,0.1,8,1,1,0,8,0.0,100.0,88.0
z12bz7adLKI,0.8,350,0.15,13,1,1,0,13,0.0,100.0,88.0
EiL5bMvDkNA,0.4,150,0.05,4,1,1,4,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,150,0.1,9,1,1,9,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,150,0.15,13,1,1,13,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,200,0.05,4,1,1,4,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,200,0.1,9,1,1,9,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,200,0.15,13,1,1,13,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,250,0.05,4,1,1,4,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,250,0.1,9,1,1,9,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,250,0.15,13,1,1,13,0,100.0,0.0,0.1
EiL5bMvDkNA,0.4,300,0.05,4,1,0,0,4,0.0,0.0,100.0
EiL5bMvDkNA,0.4,300,0.1,9,1,0,0,9,0.0,0.0,100.0
