audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,mean_recall,std_recall,mean_noise,std_noise,mean_pruned,std_pruned,mean_recall_delta_vs_random,mean_recall_delta_vs_uniform,n_videos
0.6,250,0.15,45,15,60,34.77,33.3,34.85,32.71,65.09,30.41,17.14,13.48,32
0.5,300,0.05,15,5,20,34.38,35.22,80.06,31.31,69.88,23.43,8.59,3.12,32
0.5,350,0.05,15,5,20,34.38,35.22,80.06,31.31,70.18,23.63,9.38,1.56,32
0.6,150,0.05,30,10,40,34.38,34.66,69.51,34.08,66.06,28.61,12.5,9.38,32
0.6,200,0.1,30,10,40,34.24,33.95,54.2,36.91,66.73,28.43,12.8,13.25,32
0.6,150,0.15,30,10,40,34.21,32.15,47.52,33.69,66.06,28.61,15.44,13.87,32
0.6,200,0.15,30,10,40,33.76,31.77,44.13,33.11,66.73,28.43,16.17,14.32,32
0.5,300,0.15,15,5,20,33.66,25.1,65.65,28.28,69.88,23.43,12.02,3.68,32
0.6,200,0.05,30,10,40,33.59,34.58,65.78,36.1,66.73,28.43,11.72,10.16,32
0.6,300,0.05,45,15,60,33.59,37.82,57.87,38.89,67.1,30.89,10.16,12.5,32
0.5,350,0.15,15,5,20,33.43,25.18,65.61,28.25,70.18,23.63,12.01,4.34,32
0.5,300,0.1,15,5,20,32.9,27.81,73.36,29.46,69.88,23.43,8.12,3.35,32
0.5,350,0.1,15,5,20,32.9,27.81,73.3,29.42,70.18,23.63,8.47,3.69,32
0.6,250,0.1,30,10,40,32.85,34.19,54.74,36.91,67.74,28.34,12.11,11.17,32
0.6,250,0.05,30,10,40,32.81,34.48,65.91,35.83,67.74,28.34,10.94,9.38,32
0.6,350,0.05,45,15,60,32.81,38.24,58.91,39.55,67.56,31.17,9.38,10.16,32
0.6,250,0.15,30,10,40,32.61,31.9,44.67,33.27,67.74,28.34,15.73,12.24,32
0.6,300,0.1,45,15,60,32.37,36.01,48.0,36.95,67.1,30.89,11.98,9.68,32
0.6,350,0.1,45,15,60,32.02,36.27,48.97,37.86,67.56,31.17,11.63,8.99,32
0.6,300,0.15,45,15,60,31.87,33.83,35.51,33.36,67.1,30.89,14.46,11.02,32
0.6,350,0.15,45,15,60,31.42,34.15,36.48,34.72,67.56,31.17,14.01,10.35,32
0.6,300,0.1,30,10,40,30.77,33.87,55.3,37.12,69.75,27.44,11.41,10.47,32
0.6,300,0.05,30,10,40,30.47,33.5,65.11,37.27,69.75,27.44,9.38,7.81,32
0.6,300,0.15,30,10,40,29.91,31.33,45.51,33.78,69.75,27.44,13.92,9.53,32
0.6,350,0.1,30,10,40,29.73,34.39,55.46,37.13,70.72,28.1,10.37,9.08,32
0.6,350,0.15,30,10,40,29.02,31.76,45.68,33.84,70.72,28.1,13.25,8.63,32
0.6,350,0.05,30,10,40,28.91,34.3,65.74,37.68,70.72,28.1,7.81,6.25,32
0.7,150,0.05,45,15,60,28.91,29.39,55.63,37.15,72.1,26.26,7.81,8.59,32
0.6,150,0.15,20,5,25,28.28,28.15,61.64,29.12,74.59,22.74,8.81,6.34,32
0.7,150,0.1,45,15,60,28.12,28.84,42.17,35.97,72.1,26.26,6.38,6.86,32
0.7,150,0.15,45,15,60,27.92,28.94,34.15,35.97,72.1,26.26,9.63,8.74,32
0.6,200,0.15,20,5,25,27.39,26.74,57.96,30.17,76.17,20.92,8.36,6.53,32
0.6,150,0.1,20,5,25,27.25,30.67,70.72,31.44,74.59,22.74,4.73,3.91,32
0.6,150,0.05,20,5,25,26.56,33.03,78.4,32.8,74.59,22.74,5.47,2.34,32
0.6,250,0.15,20,5,25,26.5,26.56,57.74,30.02,76.73,20.95,7.92,7.48,32
0.6,200,0.1,20,5,25,25.86,28.79,67.55,33.2,76.17,20.92,3.69,3.9,32
0.7,200,0.05,45,15,60,25.78,28.29,51.71,38.65,74.76,25.4,5.47,5.47,32
0.7,200,0.1,45,15,60,25.69,28.22,39.09,35.17,74.76,25.4,5.34,5.12,32
0.7,200,0.15,45,15,60,25.47,28.14,31.07,34.46,74.76,25.4,8.06,6.73,32
0.6,250,0.1,20,5,25,25.17,29.13,67.63,33.53,76.73,20.95,3.69,4.6,32
0.6,200,0.05,20,5,25,25.0,31.87,75.24,35.27,76.17,20.92,3.91,3.12,32
0.6,250,0.05,20,5,25,25.0,31.87,75.03,35.27,76.73,20.95,4.69,5.47,32
0.7,250,0.05,45,15,60,25.0,28.64,51.84,39.1,75.35,25.53,4.69,3.12,32
0.6,300,0.15,20,5,25,24.69,26.34,58.1,30.81,77.73,20.89,6.33,5.65,32
0.7,250,0.1,45,15,60,24.65,28.12,39.7,35.41,75.35,25.53,4.3,3.73,32
0.7,250,0.15,45,15,60,24.57,28.14,31.68,34.84,75.35,25.53,7.62,5.83,32
0.7,300,0.05,45,15,60,24.22,28.29,52.37,39.18,75.57,25.64,3.91,3.12,32
0.7,350,0.05,45,15,60,24.22,28.29,52.37,39.18,75.57,25.64,3.91,3.12,32
0.7,300,0.15,45,15,60,24.12,28.3,31.68,34.84,75.57,25.64,7.17,5.39,32
0.7,350,0.15,45,15,60,24.12,28.3,31.68,34.84,75.57,25.64,7.17,5.39,32
0.6,150,0.1,15,5,20,24.08,26.13,73.76,30.81,78.43,19.89,5.12,3.26,32
0.6,150,0.15,15,5,20,24.02,22.91,66.15,28.73,78.43,19.89,7.17,1.95,32
0.6,350,0.15,20,5,25,24.02,26.62,59.12,30.39,78.14,21.14,6.11,4.98,32
