video_id,audio_method,face_detection,audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,true_peaks,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct
8PtsKRBgLrA,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
Tqsz6fjvhZM,mfcc,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
z12bz7adLKI,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
EiL5bMvDkNA,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
VgxHwN6qZxo,mfcc,True,0.4,200,0.15,45,15,13,2,1,15.4,0.0,93.3
ikr-zKaxSF0,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,mfcc,True,0.4,200,0.15,45,15,13,3,1,46.2,0.0,42.2
GxLa6rdww8g,mfcc,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
pjSxOnCkHIA,mfcc,True,0.4,200,0.15,45,15,13,2,2,84.6,0.0,1.8
g1T8-WSYcdI,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.2
0guSWBSO8lo,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
_fWyWcZB7VA,mfcc,True,0.4,200,0.15,45,15,14,2,0,0.0,0.0,100.0
0bGQ_I5NXXo,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
Ug-nsXBgCJk,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4JB24wITVEU,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.8
5Q5QWdR42Is,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pqnhlrlrfmw,mfcc,True,0.4,200,0.15,45,15,14,17,12,85.7,58.3,20.7
IEfBBYmxtIo,mfcc,True,0.4,200,0.15,45,15,14,5,4,42.9,50.0,55.8
IcAV5qiko8M,mfcc,True,0.4,200,0.15,45,15,14,5,0,0.0,0.0,100.0
DZ6q5X7fAmU,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
t8HrZTLRCeU,mfcc,True,0.4,200,0.15,45,15,14,3,0,0.0,0.0,100.0
MIoNEQeC7_s,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
qxXYC15dmpc,mfcc,True,0.4,200,0.15,45,15,14,2,2,100.0,0.0,0.6
lbMs5zG4TbM,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
MoBkkw66NWY,mfcc,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
ewKEe8pL8_w,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
wdGLOmdpq_k,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4Z-KLkjICoY,mfcc,True,0.4,200,0.15,45,15,14,15,15,78.6,46.7,11.7
5hHM3LdKcRY,mfcc,True,0.4,200,0.15,45,15,14,4,2,85.7,0.0,18.6
yZMFBsYyJL0,mfcc,True,0.4,200,0.15,45,15,14,3,3,100.0,33.3,0.4
igUiMu6sZm0,mfcc,True,0.4,200,0.15,45,15,14,2,2,100.0,0.0,1.9
wQA68Oqr1qE,mfcc,False,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
8PtsKRBgLrA,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
Tqsz6fjvhZM,mfcc,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
z12bz7adLKI,mfcc,False,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
EiL5bMvDkNA,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.7
VgxHwN6qZxo,mfcc,False,0.4,200,0.15,45,15,13,2,2,100.0,0.0,4.5
ikr-zKaxSF0,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,mfcc,False,0.4,200,0.15,45,15,13,3,1,46.2,0.0,42.2
